"Edicao (PTBR)","Edicao (EN)","Edicao (Sigla)","Card (PT)","Card (EN)",Quantidade,"Qualidade (M NM SP MP HP D)","Idioma (BR EN DE ES FR IT JP KO RU TW)","Raridade (M R U C)","Cor (W U B R G M A L)",Extras,"Card #",Comentario
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Navegar para o Oeste","Sail into the West",1,NM,PTEN,R,M,,68,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Necropole Despedacada","Crumbling Necropolis",1,NM,PTEN,U,L,,302,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"O Balrog de Moria","The Balrog of Moria",1,NM,PTEN,R,M,,46,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"O Feitor","The Gaffer",1,NM,PTEN,R,W,,12,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"O Portao Negro","The Black Gate",1,NM,PTEN,R,L,,80,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Oferenda Silvestre","Sylvan Offering",1,NM,PTEN,R,G,,261,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Olhar Sem Palpebras","Lidless Gaze",1,NM,PTEN,R,M,,59,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Onda de Genese","Genesis Wave",1,NM,PTEN,R,G,,245,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,Optar,Opt,1,NM,PTEN,C,U,,194,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Pacto de Sangue","Sanguine Bond",1,NM,PTEN,R,B,,208,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Pantano Ardente","Smoldering Marsh",1,NM,PTEN,R,L,,332,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Passagem do Ladino","Rogue's Passage",1,NM,PTEN,U,L,,326,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Patio Reservado","Secluded Courtyard",1,NM,PTEN,U,L,,330,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Patrulheiros dos Confins","Verge Rangers",1,NM,PTEN,R,W,,180,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Pedido de Ajuda","Call for Aid",1,NM,PTEN,R,R,,30,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Pedra da Mente","Mind Stone",1,NM,PTEN,U,C,,282,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Pedra de Energia Gasta","Worn Powerstone",1,NM,PTEN,U,C,,293,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Penhasco Marcado pelo Vento","Wind-Scarred Crag",1,NM,PTEN,C,L,,344,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Pico da Caveira de Dragao","Dragonskull Summit",1,NM,PTEN,R,L,,304,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Pilhagem Infiel","Faithless Looting",1,NM,PTEN,C,R,,215,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Pippin, Protetor de Isengard","Pippin, Warden of Isengard",1,NM,PTEN,R,M,,65,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Poco dos Sonhos Perdidos","Well of Lost Dreams",1,NM,PTEN,R,C,,291,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Pomar Exotico","Exotic Orchard",1,NM,PTEN,R,L,,307,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Ponei Motivado","Motivated Pony",1,NM,PTEN,R,G,,42,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Porco de Competicao","Prize Pig",1,NM,PTEN,R,G,,43,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Porta dos Destinos","Door of Destinies",1,NM,PTEN,R,C,,277,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Porto do Interior","Hinterland Harbor",1,NM,PTEN,R,L,,317,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Prender os Intrusos","Trap the Trespassers",1,NM,PTEN,R,U,,25,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,Preordenar,Preordain,1,NM,PTEN,C,U,,196,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Primaz Desmatador","Woodfall Primus",1,NM,PTEN,R,G,,264,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Protetora do Bastiao","Bastion Protector",1,NM,PTEN,R,W,,162,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Provisionista Incansavel","Tireless Provisioner",1,NM,PTEN,U,G,,262,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Provocar das Ameias","Taunt from the Rampart",1,NM,PTEN,R,M,,71,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Quarteirao Fantasma","Ghost Quarter",1,NM,PTEN,U,L,,314,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Queridos Defuntos","Dearly Departed",1,NM,PTEN,R,W,,165,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Radagast, Mago das Matas","Radagast, Wizard of Wilds",1,NM,PTEN,R,M,,66,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,Reanimar,Reanimate,1,NM,PTEN,R,B,,206,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Receptaculo de Pensamentos","Thought Vessel",1,NM,PTEN,C,C,,287,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Recrutas Zelosos","Zealous Conscripts",1,NM,PTEN,R,R,,231,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Reforcos da Hoste Cinzenta","Grey Host Reinforcements",1,NM,PTEN,R,W,,14,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Refugio de Pele-Cinza","Graypelt Refuge",1,NM,PTEN,U,L,,316,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Reliquia de Sauron","Relic of Sauron",1,NM,PTEN,R,C,,79,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Retiro da Falesia","Clifftop Retreat",1,NM,PTEN,R,L,,300,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Reunir o Entebate","Assemble the Entmoot",1,NM,PTEN,R,G,,36,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Riacho da Floresta","Woodland Stream",1,NM,PTEN,C,L,,347,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Riacho da Pradaria","Prairie Stream",1,NM,PTEN,R,L,,324,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Rio Subterraneo","Underground River",1,NM,PTEN,R,L,,342,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Ruinas Agourentas","Foreboding Ruins",1,NM,PTEN,R,L,,310,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Sabio da Reivindicacao","Reclamation Sage",1,NM,PTEN,U,G,,259,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Sam, Ajudante Leal","Sam, Loyal Attendant",1,NM,PTEN,M,M,,7,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Saqueador Flamigero","Flamerush Rider",1,NM,PTEN,R,R,,216,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Saruman, A Mao Branca","Saruman, the White Hand",1,NM,PTEN,M,M,,8,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Sauron, Senhor dos Aneis","Sauron, Lord of the Rings",1,NM,PTEN,M,M,,4,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Sauron, Senhor dos Aneis (Display Commander)","Sauron, Lord of the Rings (Display Commander)",1,NM,PTEN,M,M,,84,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Sementes da Renovacao","Seeds of Renewal",1,NM,PTEN,R,G,,260,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Senhor dos Nazgul","Lord of the Nazgul",1,NM,PTEN,R,M,,60,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Sineiro da Aldeia","Village Bell-Ringer",1,NM,PTEN,C,W,,181,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Sinete Arcano","Arcane Signet",1,NM,PTEN,C,C,,273,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Sol Ring (Dwarven)","Sol Ring (Dwarven)",1,NM,PTEN,M,C,,409,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Sol Ring (Elven)","Sol Ring (Elven)",1,NM,PTEN,M,C,,408,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Sol Ring (Human)","Sol Ring (Human)",1,NM,PTEN,M,C,,410,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Subjugar os Hobbits","Subjugate the Hobbits",1,NM,PTEN,R,U,,24,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Sussurro da Noite","Night's Whisper",1,NM,PTEN,C,B,,205,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Talisma da Conviccao","Talisman of Conviction",1,NM,PTEN,U,C,,285,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Talisma do Progresso","Talisman of Progress",1,NM,PTEN,U,C,,286,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Talisma Imaculado","Pristine Talisman",1,NM,PTEN,C,C,,283,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Taverneiro Prospero","Prosperous Innkeeper",1,NM,PTEN,U,G,,256,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Terras em Desenvolvimento","Evolving Wilds",1,NM,PTEN,C,L,,306,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,Terremoto,Earthquake,1,NM,PTEN,R,R,,214,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Tita do Inferno","Inferno Titan",1,NM,PTEN,M,R,,223,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Tomadora de Refens","Hostage Taker",1,NM,PTEN,R,M,,268,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Torre de Comando","Command Tower",1,NM,PTEN,C,L,,301,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Travessia de Caradhras","Travel Through Caradhras",1,NM,PTEN,R,G,,44,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Trono da Cidade Alta","Throne of the High City",1,NM,PTEN,R,L,,339,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Tunel de Acesso","Access Tunnel",1,NM,PTEN,U,L,,294,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Umbrigeos Goblins","Goblin Dark-Dwellers",1,NM,PTEN,R,R,,219,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Vale Afundado","Sunken Hollow",1,NM,PTEN,R,L,,335,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Vastidao Morfoterrena","Terramorphic Expanse",1,NM,PTEN,C,L,,337,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Veredito Supremo","Supreme Verdict",1,NM,PTEN,R,M,,272,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Vespa Rainha","Hornet Queen",1,NM,PTEN,R,G,,250,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Viajante Enrijecido","Weathered Wayfarer",1,NM,PTEN,R,W,,183,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Vinganca dos Corvos","Revenge of Ravens",1,NM,PTEN,U,B,,207,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Visionario Elfico","Elvish Visionary",1,NM,PTEN,C,G,,240,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Visoes de Gloria","Visions of Glory",1,NM,PTEN,R,W,,182,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Vista do Dossel","Canopy Vista",1,NM,PTEN,R,L,,298,
"Contos da Terra Média Commander (Borderless Hildebrandt Brothers)","Tales of Middle-earth Commander (Borderless Hildebrandt Brothers)",bhltc,Adoracao,Worship,1,NM,PTEN,R,W,,522,
"Contos da Terra Média Commander (Borderless Hildebrandt Brothers)","Tales of Middle-earth Commander (Borderless Hildebrandt Brothers)",bhltc,"Anunciadora Elfica","Elvish Harbinger",1,NM,PTEN,U,G,,527,
"Contos da Terra Média Commander (Borderless Hildebrandt Brothers)","Tales of Middle-earth Commander (Borderless Hildebrandt Brothers)",bhltc,"Curadora de Alma","Soul's Attendant",1,NM,PTEN,U,W,,520,
"Contos da Terra Média Commander (Borderless Hildebrandt Brothers)","Tales of Middle-earth Commander (Borderless Hildebrandt Brothers)",bhltc,,"Edoras, Capital of Rohan // Hammerheim",1,NM,PTEN,R,R,,518,
"Contos da Terra Média Commander (Borderless Hildebrandt Brothers)","Tales of Middle-earth Commander (Borderless Hildebrandt Brothers)",bhltc,"Estacoes Passadas","Seasons Past",1,NM,PTEN,R,G,,529,
"Contos da Terra Média Commander (Borderless Hildebrandt Brothers)","Tales of Middle-earth Commander (Borderless Hildebrandt Brothers)",bhltc,Explorar,Explore,1,NM,PTEN,U,G,,528,
"Contos da Terra Média Commander (Borderless Hildebrandt Brothers)","Tales of Middle-earth Commander (Borderless Hildebrandt Brothers)",bhltc,"Gigante Talha-Pedra","Stonehewer Giant",1,NM,PTEN,R,W,,521,
"Contos da Terra Média Commander (Borderless Hildebrandt Brothers)","Tales of Middle-earth Commander (Borderless Hildebrandt Brothers)",bhltc,"Intento Diabolico","Diabolic Intent",1,NM,PTEN,M,B,,526,
"Contos da Terra Média Commander (Borderless Hildebrandt Brothers)","Tales of Middle-earth Commander (Borderless Hildebrandt Brothers)",bhltc,"Kelpie do Rio","River Kelpie",1,NM,PTEN,R,U,,524,
"Contos da Terra Média Commander (Borderless Hildebrandt Brothers)","Tales of Middle-earth Commander (Borderless Hildebrandt Brothers)",bhltc,"Pacto de Negacao","Pact of Negation",1,NM,PTEN,R,U,,523,
"Contos da Terra Média Commander (Borderless Hildebrandt Brothers)","Tales of Middle-earth Commander (Borderless Hildebrandt Brothers)",bhltc,"Paisagem Infinita","Myriad Landscape",1,NM,PTEN,U,L,,534,
"Contos da Terra Média Commander (Borderless Hildebrandt Brothers)","Tales of Middle-earth Commander (Borderless Hildebrandt Brothers)",bhltc,"Perseguidor Abissal","Abyssal Persecutor",1,NM,PTEN,M,B,,525,
"Contos da Terra Média Commander (Borderless Hildebrandt Brothers)","Tales of Middle-earth Commander (Borderless Hildebrandt Brothers)",bhltc,"Protetor de Troncos","Timber Protector",1,NM,PTEN,R,G,,533,
"Contos da Terra Média Commander (Borderless Hildebrandt Brothers)","Tales of Middle-earth Commander (Borderless Hildebrandt Brothers)",bhltc,"Segunda Colheita","Second Harvest",1,NM,PTEN,R,G,,530,
"Contos da Terra Média Commander (Borderless Hildebrandt Brothers)","Tales of Middle-earth Commander (Borderless Hildebrandt Brothers)",bhltc,,"Shelob, Whose Lair Is Death // Ishkanah, Grafwidow",1,NM,PTEN,M,G,,516,
"Contos da Terra Média Commander (Borderless Hildebrandt Brothers)","Tales of Middle-earth Commander (Borderless Hildebrandt Brothers)",bhltc,,"Sylvan Tutor",1,NM,PTEN,M,G,,531,
"Contos da Terra Média Commander (Borderless Hildebrandt Brothers)","Tales of Middle-earth Commander (Borderless Hildebrandt Brothers)",bhltc,"Tentacao da Descoberta","Tempt with Discovery",1,NM,PTEN,U,G,,532,
"Contos da Terra Média Commander (Borderless Hildebrandt Brothers)","Tales of Middle-earth Commander (Borderless Hildebrandt Brothers)",bhltc,,"Theoden, Strength Restored // Kenrith, the Returned King",1,NM,PTEN,M,W,,515,
"Contos da Terra Média Commander (Borderless Hildebrandt Brothers)","Tales of Middle-earth Commander (Borderless Hildebrandt Brothers)",bhltc,,"Tower of Cirith Ungol // Urborg",1,NM,PTEN,R,L,,519,
"Contos da Terra Média Commander (Borderless Hildebrandt Brothers)","Tales of Middle-earth Commander (Borderless Hildebrandt Brothers)",bhltc,,"Treebeard, Eldest of Ents // Doran, the Siege Tower",1,NM,PTEN,R,M,,517,
"Contos da Terra Média Commander (Borderless Scene Surge Foil)","Tales of Middle-earth Commander (Borderless Scene Surge Foil)",bsltc,,"Anduril, Narsil Reforged",1,NM,PTEN,R,C,,535,
"Contos da Terra Média Commander (Borderless Scene Surge Foil)","Tales of Middle-earth Commander (Borderless Scene Surge Foil)",bsltc,,"Aragorn, Hornburg Hero",1,NM,PTEN,M,M,,536,
"Contos da Terra Média Commander (Borderless Scene Surge Foil)","Tales of Middle-earth Commander (Borderless Scene Surge Foil)",bsltc,,"Arboreal Alliance",1,NM,PTEN,R,G,,541,
"Contos da Terra Média Commander (Borderless Scene Surge Foil)","Tales of Middle-earth Commander (Borderless Scene Surge Foil)",bsltc,,"Call Forth the Tempest",1,NM,PTEN,R,R,,553,
"Contos da Terra Média Commander (Borderless Scene Surge Foil)","Tales of Middle-earth Commander (Borderless Scene Surge Foil)",bsltc,,"Courageous Resolve",1,NM,PTEN,R,W,,550,
"Contos da Terra Média Commander (Borderless Scene Surge Foil)","Tales of Middle-earth Commander (Borderless Scene Surge Foil)",bsltc,,"Fell Beast of Mordor",1,NM,PTEN,R,B,,557,
"Contos da Terra Média Commander (Borderless Scene Surge Foil)","Tales of Middle-earth Commander (Borderless Scene Surge Foil)",bsltc,,"Fell Beast's Shriek",1,NM,PTEN,R,M,,552,
"Contos da Terra Média Commander (Borderless Scene Surge Foil)","Tales of Middle-earth Commander (Borderless Scene Surge Foil)",bsltc,,"Galadhrim Brigade",1,NM,PTEN,R,G,,546,
"Contos da Terra Média Commander (Borderless Scene Surge Foil)","Tales of Middle-earth Commander (Borderless Scene Surge Foil)",bsltc,,"Galadriel's Dismissal",1,NM,PTEN,R,W,,544,
"Contos da Terra Média Commander (Borderless Scene Surge Foil)","Tales of Middle-earth Commander (Borderless Scene Surge Foil)",bsltc,,"Galadriel, Light of Valinor",1,NM,PTEN,M,M,,542,
"Contos da Terra Média Commander (Borderless Scene Surge Foil)","Tales of Middle-earth Commander (Borderless Scene Surge Foil)",bsltc,,"Gandalf of the Secret Fire",1,NM,PTEN,M,M,,551,
"Contos da Terra Média Commander (Borderless Scene Surge Foil)","Tales of Middle-earth Commander (Borderless Scene Surge Foil)",bsltc,,"Gimli's Reckless Might",1,NM,PTEN,R,R,,538,
"Contos da Terra Média Commander (Borderless Scene Surge Foil)","Tales of Middle-earth Commander (Borderless Scene Surge Foil)",bsltc,,"Isengard Unleashed",1,NM,PTEN,R,R,,539,
"Contos da Terra Média Commander (Borderless Scene Surge Foil)","Tales of Middle-earth Commander (Borderless Scene Surge Foil)",bsltc,,"Legolas's Quick Reflexes",1,NM,PTEN,R,G,,537,
"Contos da Terra Média Commander (Borderless Scene Surge Foil)","Tales of Middle-earth Commander (Borderless Scene Surge Foil)",bsltc,,"Minas Morgul, Dark Fortress",1,NM,PTEN,R,L,,558,
"Contos da Terra Média Commander (Borderless Scene Surge Foil)","Tales of Middle-earth Commander (Borderless Scene Surge Foil)",bsltc,,"Mists of Lorien",1,NM,PTEN,R,U,,545,
"Contos da Terra Média Commander (Borderless Scene Surge Foil)","Tales of Middle-earth Commander (Borderless Scene Surge Foil)",bsltc,,"Mordor on the March",1,NM,PTEN,R,M,,556,
"Contos da Terra Média Commander (Borderless Scene Surge Foil)","Tales of Middle-earth Commander (Borderless Scene Surge Foil)",bsltc,,"Nazgul Battle-Mace",1,NM,PTEN,R,C,,554,
"Contos da Terra Média Commander (Borderless Scene Surge Foil)","Tales of Middle-earth Commander (Borderless Scene Surge Foil)",bsltc,,"Olorin's Searing Light",1,NM,PTEN,R,M,,547,
"Contos da Terra Média Commander (Borderless Scene Surge Foil)","Tales of Middle-earth Commander (Borderless Scene Surge Foil)",bsltc,,"Rally the Galadhrim",1,NM,PTEN,R,M,,543,
"Contos da Terra Média Commander (Borderless Scene Surge Foil)","Tales of Middle-earth Commander (Borderless Scene Surge Foil)",bsltc,,"Rammas Echor, Ancient Shield",1,NM,PTEN,R,W,,549,
"Contos da Terra Média Commander (Borderless Scene Surge Foil)","Tales of Middle-earth Commander (Borderless Scene Surge Foil)",bsltc,,"Rohirrim Chargers",1,NM,PTEN,R,M,,540,
